"","9"
"Y2006M1",592.500024414063
"Y2006M2",225.600003051758
"Y2006M3",117.820002746582
"Y2006M4",152.020004272461
"Y2006M5",512.240014648438
"Y2006M6",480.200012207031
"Y2006M7",326.640008544922
"Y2006M8",189.040002441406
"Y2006M9",117.060000610352
"Y2006M10",103.840002441406
"Y2006M11",136.500001525879
"Y2006M12",225.380004882812
"Y2007M1",170.120004272461
"Y2007M2",85.8600021362305
"Y2007M3",274.320001220703
"Y2007M4",316.2
"Y2007M5",586.200018310547
"Y2007M6",431.340002441406
"Y2007M7",351.420007324219
"Y2007M8",366.080004882812
"Y2007M9",162.540000915527
"Y2007M10",149.320002746582
"Y2007M11",118.000004577637
"Y2007M12",516.700012207031
"Y2008M1",235.120001220703
"Y2008M2",545.900006103516
"Y2008M3",217.940005493164
"Y2008M4",237.279998779297
"Y2008M5",421.680004882813
"Y2008M6",380.840002441406
"Y2008M7",413.060003662109
"Y2008M8",225.900003051758
"Y2008M9",123.440002441406
"Y2008M10",141.020004272461
"Y2008M11",101.020001983643
"Y2008M12",692.2
"Y2009M1",443.479998779297
"Y2009M2",217.520004272461
"Y2009M3",149.780001831055
"Y2009M4",348.060009765625
"Y2009M5",87.0600006103516
"Y2009M6",313.560012817383
"Y2009M7",310.700009155273
"Y2009M8",112.080000305176
"Y2009M9",92.3000015258789
"Y2009M10",144.200001525879
"Y2009M11",126.060003662109
"Y2009M12",206.380001831055
"Y2010M1",93.5599990844727
"Y2010M2",112.440001678467
"Y2010M3",132.140003967285
"Y2010M4",366.900012207031
"Y2010M5",478.700006103516
"Y2010M6",271.300003051758
"Y2010M7",498.600006103516
"Y2010M8",287.940005493164
"Y2010M9",138.400004577637
"Y2010M10",117.500003051758
"Y2010M11",171.420004272461
"Y2010M12",263.520004272461
"Y2011M1",181.440002441406
"Y2011M2",498.060009765625
"Y2011M3",600.000024414063
"Y2011M4",76.0800018310547
"Y2011M5",453.460009765625
"Y2011M6",288.760000610352
"Y2011M7",249.380004882812
"Y2011M8",235.100003051758
"Y2011M9",68.2600021362305
"Y2011M10",180.100003051758
"Y2011M11",161.920001220703
"Y2011M12",165.580001831055
"Y2012M1",378.800012207031
"Y2012M2",422.580010986328
"Y2012M3",126.180003356934
"Y2012M4",293.9
"Y2012M5",445.320013427734
"Y2012M6",256.060003662109
"Y2012M7",328.180010986328
"Y2012M8",226.7
"Y2012M9",33.5200008392334
"Y2012M10",40.780001449585
"Y2012M11",115.520001220703
"Y2012M12",198.260006713867
"Y2013M1",87.8800018310547
"Y2013M2",319.880017089844
"Y2013M3",142.880003356934
"Y2013M4",230.680004882813
"Y2013M5",485.080004882812
"Y2013M6",312.080010986328
"Y2013M7",367.980004882813
"Y2013M8",305.800006103516
"Y2013M9",110.240000915527
"Y2013M10",107.420002746582
"Y2013M11",194.780001831055
"Y2013M12",305.060009765625
"Y2014M1",192.440002441406
"Y2014M2",172.720001220703
"Y2014M3",151.280001831055
"Y2014M4",185.6
"Y2014M5",318.660009765625
"Y2014M6",384.360009765625
"Y2014M7",327.200006103516
"Y2014M8",221.460003662109
"Y2014M9",47.6200000762939
"Y2014M10",104.140002441406
"Y2014M11",188.200003051758
"Y2014M12",219.000006103516
"Y2015M1",183.300003051758
"Y2015M2",175.200003051758
"Y2015M3",152.760000610352
"Y2015M4",228.700003051758
"Y2015M5",390.380004882812
"Y2015M6",384.900006103516
"Y2015M7",334.840008544922
"Y2015M8",246.440002441406
"Y2015M9",112.56000213623
"Y2015M10",90.8000015258789
"Y2015M11",116.800001525879
"Y2015M12",210.340002441406
"Y2016M1",267.260006713867
"Y2016M2",176.120001220703
"Y2016M3",147.26000213623
"Y2016M4",276.660006713867
"Y2016M5",420.340008544922
"Y2016M6",372.280010986328
"Y2016M7",291.460006713867
"Y2016M8",235.260003662109
"Y2016M9",137.080003356934
"Y2016M10",47.6200008392334
"Y2016M11",100.060000610352
"Y2016M12",384.080004882812
"Y2017M1",239.520001220703
"Y2017M2",323.060003662109
"Y2017M3",318.700009155273
"Y2017M4",232.260006713867
"Y2017M5",426.140008544922
"Y2017M6",444.640002441406
"Y2017M7",329.720007324219
"Y2017M8",126.100003051758
"Y2017M9",128.600003051758
"Y2017M10",85.8000030517578
"Y2017M11",126.26000213623
"Y2017M12",243.420001220703
"Y2018M1",215.820004272461
"Y2018M2",162.560003662109
"Y2018M3",184.5
"Y2018M4",292.120007324219
"Y2018M5",415.600006103516
"Y2018M6",398.080010986328
"Y2018M7",357.640008544922
"Y2018M8",153.820007324219
"Y2018M9",165.96000213623
"Y2018M10",39.1800003051758
"Y2018M11",112.7
"Y2018M12",126.100001525879
"Y2019M1",211.660000610352
"Y2019M2",128.540002441406
"Y2019M3",40.6600009918213
"Y2019M4",139.260003662109
"Y2019M5",447.280004882812
"Y2019M6",356.020007324219
"Y2019M7",421.740008544922
"Y2019M8",269.420007324219
"Y2019M9",163.320002746582
"Y2019M10",69.3599998474121
"Y2019M11",128.980001831055
"Y2019M12",298.940005493164
