"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2006-01",0,0,0,0,0,0,0,0,0,0,0,0,249,511
"2006-02",0,0,0,0,0,0,0,0,0,0,0,249,1,309
"2006-03",0,0,0,0,0,0,0,0,0,0,357,1,0,219
"2006-04",0,0,0,0,0,0,0,0,0,442,198,208,1,157
"2006-05",0,0,0,0,0,0,0,0,456,244,209,2,140,352
"2006-06",0,0,0,0,0,0,0,456,244,209,2,145,199,355
"2006-07",0,0,0,0,0,0,476,296,209,3,160,299,316,375
"2006-08",0,0,0,0,0,476,296,209,75,160,304,327,155,298
"2006-09",0,0,0,0,476,297,209,125,200,308,346,179,185,223
"2006-10",0,0,0,477,297,209,125,200,308,348,200,185,231,274
"2006-11",0,0,477,297,209,125,200,308,348,277,204,231,0,243
"2006-12",0,485,300,215,125,327,324,348,277,204,249,0,0,286
"2007-01",511,309,219,157,352,355,375,298,223,274,243,286,0,432
"2007-02",309,219,157,352,355,375,298,223,274,243,286,186,0,282
"2007-03",219,157,352,355,375,298,223,274,243,286,431,281,207,278
"2007-04",157,352,355,375,298,223,274,243,286,431,281,278,246,337
"2007-05",352,355,375,298,223,274,243,286,432,282,278,337,249,323
"2007-06",355,375,298,223,274,243,286,432,282,278,337,323,186,340
"2007-07",375,298,223,274,243,286,432,282,278,337,323,340,199,310
"2007-08",298,223,274,243,286,432,282,278,337,323,340,310,177,317
"2007-09",223,274,243,286,432,282,278,337,323,340,310,317,238,314
"2007-10",274,243,286,432,282,278,337,323,340,310,317,314,327,364
"2007-11",243,286,432,282,278,337,323,340,310,317,314,364,241,292
"2007-12",286,432,282,278,337,323,340,310,317,314,364,292,127,386
"2008-01",432,282,278,337,323,340,310,317,314,364,292,386,325,373
"2008-02",282,278,337,323,340,310,317,314,364,292,386,373,218,304
"2008-03",278,337,323,340,310,317,314,364,292,386,373,303,203,289
"2008-04",337,323,340,310,317,314,364,292,386,373,304,288,227,276
"2008-05",323,340,310,317,314,364,292,386,373,304,288,276,297,389
"2008-06",340,310,317,314,364,292,386,373,304,288,276,388,266,403
"2008-07",310,317,314,364,292,386,373,304,288,276,388,403,407,466
"2008-08",317,314,364,292,386,373,304,288,276,388,403,466,275,387
"2008-09",314,364,292,386,373,304,289,276,388,403,466,387,347,391
"2008-10",364,292,386,373,304,289,276,388,403,466,387,391,277,420
"2008-11",292,386,373,304,289,276,388,403,466,387,391,420,232,269
"2008-12",386,373,304,289,276,388,403,466,387,391,420,268,308,491
"2009-01",373,304,289,276,388,403,466,387,391,420,269,491,394,542
"2009-02",304,289,276,388,403,466,387,391,420,269,491,542,207,352
"2009-03",289,276,388,403,466,387,391,420,269,491,542,351,380,432
"2009-04",276,388,403,466,387,391,420,269,491,542,351,432,345,417
"2009-05",388,403,466,387,391,420,269,491,542,351,432,417,226,305
"2009-06",403,466,387,391,420,269,491,542,351,432,417,305,425,485
"2009-07",466,387,391,420,269,491,542,351,432,417,305,484,467,583
"2009-08",387,391,420,269,491,542,351,432,417,305,484,583,331,562
"2009-09",391,420,269,491,542,351,432,417,305,485,583,561,476,707
"2009-10",420,269,491,542,351,432,417,305,485,583,562,707,592,761
"2009-11",269,491,542,351,432,417,305,485,583,562,707,756,492,710
"2009-12",491,542,351,432,417,305,485,583,562,707,761,710,559,1024
"2010-01",542,351,432,417,305,485,583,562,707,761,710,966,512,916
"2010-02",351,432,417,305,485,583,562,707,761,710,1024,912,460,814
"2010-03",432,417,305,485,583,562,707,761,710,1024,912,811,808,923
"2010-04",417,305,485,583,562,707,761,710,1024,912,811,922,682,860
"2010-05",305,485,583,562,707,761,710,1024,912,811,923,856,445,923
"2010-06",485,583,562,707,761,710,1024,912,811,923,857,922,615,979
"2010-07",583,562,707,761,710,1024,912,811,923,858,923,978,616,836
"2010-08",562,707,761,710,1024,912,811,923,858,923,978,829,550,845
