"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2015-12",377,346,205,318,322,220,297,296,304,253,259,198,3,368
"2016-01",346,205,318,322,220,297,296,304,253,267,217,140,0,363
"2016-02",205,318,322,220,297,296,304,253,267,217,240,0,0,324
"2016-03",318,322,220,297,296,304,253,267,217,240,0,0,0,552
"2016-04",322,220,297,296,311,280,408,458,368,204,115,45,0,516
"2016-05",220,297,296,311,280,408,458,368,363,308,124,0,0,467
"2016-06",297,296,311,280,408,458,368,363,308,156,67,20,0,339
"2016-07",296,311,280,408,458,368,363,323,344,268,306,45,0,304
"2016-08",312,280,408,458,368,363,323,549,514,445,145,60,0,360
"2016-09",280,408,458,368,363,323,549,514,464,250,199,115,0,334
"2016-10",408,458,368,363,323,549,514,466,260,233,344,14,0,297
"2016-11",458,368,363,323,549,515,467,339,304,360,258,130,40,338
"2016-12",368,363,324,552,515,467,339,304,360,325,249,194,55,241
"2017-01",363,324,552,516,467,339,304,360,325,249,280,188,0,486
"2017-02",324,552,516,467,339,304,360,325,249,280,188,266,8,341
"2017-03",552,516,467,339,304,360,334,260,298,207,355,224,111,427
"2017-04",516,467,339,304,360,334,297,338,241,355,249,243,32,322
"2017-05",467,339,304,360,334,297,338,241,355,249,243,69,0,503
"2017-06",339,304,360,334,297,338,241,485,341,310,233,241,27,555
"2017-07",304,360,334,297,338,241,485,341,310,249,269,27,0,658
"2017-08",360,334,297,338,241,486,341,343,268,370,270,217,0,618
"2017-09",334,297,338,241,486,341,398,289,436,554,567,217,7,569
"2017-10",297,338,241,486,341,398,289,436,554,584,383,384,0,718
"2017-11",338,241,486,341,398,289,436,554,595,460,453,83,111,752
"2017-12",241,486,341,398,289,436,554,595,471,537,471,297,1,603
"2018-01",486,341,398,289,436,555,595,471,561,679,644,496,0,785
"2018-02",341,427,289,436,555,645,534,561,679,644,496,363,51,534
"2018-03",427,322,503,555,658,618,569,718,752,603,583,161,35,583
"2018-04",322,503,555,658,618,569,718,752,603,748,518,450,198,785
"2018-05",503,555,658,618,569,718,752,603,748,518,522,727,125,996
"2018-06",555,658,618,569,718,752,603,748,518,526,742,274,7,632
"2018-07",658,618,569,718,752,603,762,518,527,746,274,7,0,496
"2018-08",618,569,718,752,603,762,518,527,759,477,10,2,8,473
"2018-09",569,718,752,603,762,518,527,759,529,162,4,8,0,405
"2018-10",718,752,603,762,518,527,759,529,162,4,8,0,0,494
"2018-11",752,603,762,518,527,759,529,234,10,171,147,3,0,342
"2018-12",603,762,518,527,759,529,234,10,171,147,3,0,0,219
"2019-01",764,518,527,761,870,514,356,417,379,428,265,122,0,441
"2019-02",534,550,775,962,601,472,473,405,489,339,166,0,0,287
"2019-03",570,784,990,631,493,473,405,489,339,170,275,214,69,347
"2019-04",785,995,632,496,473,405,494,342,213,345,280,159,56,500
"2019-05",995,632,496,473,405,494,342,213,345,280,206,153,87,488
"2019-06",632,496,473,405,494,342,219,401,283,267,364,255,112,639
"2019-07",496,473,405,494,342,219,439,283,285,493,475,524,229,688
"2019-08",473,405,494,342,219,439,283,285,493,475,525,355,1,468
"2019-09",405,494,342,219,439,283,285,493,475,568,383,50,1,489
"2019-10",494,342,219,439,283,330,494,488,629,683,451,237,11,384
"2019-11",342,219,439,283,345,499,488,629,683,461,416,199,16,168
"2019-12",219,440,287,347,499,488,630,687,467,421,200,16,0,121
