"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2006-01",0,0,0,0,0,0,0,0,0,0,0,0,0,347
"2006-02",0,0,0,0,0,0,0,0,0,0,0,0,0,359
"2006-03",0,0,0,0,0,0,0,0,0,0,294,2,0,454
"2006-04",0,0,0,0,0,0,0,0,0,309,288,320,31,358
"2006-05",0,0,0,0,0,0,0,0,309,288,320,37,35,296
"2006-06",0,0,0,0,0,0,0,309,288,320,37,35,0,309
"2006-07",0,0,0,0,0,0,330,297,343,100,126,25,16,542
"2006-08",0,0,0,0,0,330,297,343,142,207,125,266,115,312
"2006-09",0,0,0,0,330,297,343,151,245,230,440,179,0,225
"2006-10",0,0,0,330,297,393,209,245,230,440,222,115,42,174
"2006-11",0,0,330,297,393,252,245,230,466,284,126,42,0,154
"2006-12",0,335,340,442,337,280,279,524,303,202,42,0,0,106
"2007-01",346,358,454,354,291,308,540,311,221,174,132,55,0,210
"2007-02",359,454,358,296,309,542,312,225,174,154,106,131,3,139
"2007-03",454,358,296,309,542,312,225,174,154,106,209,120,8,116
"2007-04",358,296,309,542,312,225,174,154,106,209,139,111,23,98
"2007-05",296,309,542,312,225,174,154,106,210,139,116,98,41,140
"2007-06",309,542,312,225,174,154,106,210,139,116,98,138,23,163
"2007-07",542,312,225,174,154,106,210,139,116,98,140,162,50,136
"2007-08",312,225,174,154,106,210,139,116,98,140,163,127,80,166
"2007-09",225,174,154,106,210,139,116,98,140,163,134,162,35,143
"2007-10",174,154,106,210,139,116,98,140,163,134,162,88,7,167
"2007-11",154,106,210,139,116,98,140,163,134,162,136,140,13,149
"2007-12",106,210,139,116,98,140,163,136,166,143,166,50,15,160
"2008-01",210,139,116,98,140,163,136,166,143,167,149,141,0,169
"2008-02",139,116,98,140,163,136,166,143,167,149,156,106,12,98
"2008-03",116,98,140,163,136,166,143,167,149,160,152,57,5,124
"2008-04",98,140,163,136,166,143,167,149,160,168,93,116,28,99
"2008-05",140,163,136,166,143,167,149,160,168,96,122,89,61,109
"2008-06",163,136,166,143,167,149,160,168,96,123,89,99,46,128
"2008-07",136,166,143,167,149,160,169,98,123,89,109,123,38,166
"2008-08",166,143,167,149,160,169,98,124,99,109,125,102,3,157
"2008-09",143,167,149,160,169,98,124,99,109,128,150,115,11,177
"2008-10",167,149,160,169,98,124,99,109,128,162,129,137,3,151
"2008-11",149,160,169,98,124,99,109,128,164,130,163,101,0,213
"2008-12",160,169,98,124,99,109,128,164,130,163,132,83,0,214
"2009-01",169,98,124,99,109,128,164,136,163,147,213,196,10,216
"2009-02",98,124,99,109,128,166,157,177,151,213,214,10,0,134
"2009-03",124,99,109,128,166,157,177,151,213,214,216,113,28,133
"2009-04",99,109,128,166,157,177,151,213,214,216,134,108,14,180
"2009-05",109,128,166,157,177,151,213,214,216,134,129,68,0,189
"2009-06",128,166,157,177,151,213,214,216,134,133,174,169,72,224
"2009-07",166,157,177,151,213,214,216,134,133,174,175,170,11,403
"2009-08",157,177,151,213,214,216,134,133,174,175,224,303,0,350
"2009-09",177,151,213,214,216,134,133,180,189,224,394,226,0,467
"2009-10",151,213,214,216,134,133,180,189,224,394,265,0,0,394
"2009-11",213,214,216,134,133,180,189,224,403,350,467,211,0,452
"2009-12",214,216,134,133,180,189,224,403,350,467,394,261,9,454
"2010-01",216,134,133,180,189,224,403,350,467,394,450,284,0,517
"2010-02",134,133,180,189,224,403,350,467,394,452,454,301,0,420
"2010-03",133,180,189,224,403,350,467,394,452,454,463,215,4,585
"2010-04",180,189,224,403,350,467,394,452,454,468,341,116,0,431
"2010-05",189,224,403,350,467,394,452,454,514,395,132,0,0,663
"2010-06",224,403,350,467,394,452,454,516,420,585,393,1,0,801
"2010-07",403,350,467,394,452,454,516,420,585,431,462,0,0,682
"2010-08",350,467,394,452,454,516,420,585,431,662,487,0,0,533
"2010-09",467,394,452,454,516,420,585,431,663,801,634,328,0,555
"2010-10",394,452,454,516,420,585,431,663,801,682,518,369,41,396
"2010-11",452,454,516,420,585,431,663,801,682,533,472,273,173,537
"2010-12",454,517,420,585,431,663,801,682,533,555,396,513,92,404
"2011-01",517,420,585,431,663,801,682,533,555,396,537,404,21,691
"2011-02",420,585,431,663,801,682,533,555,396,537,404,569,49,594
"2011-03",585,431,663,801,682,533,555,396,537,404,577,407,172,739
"2011-04",431,663,801,682,533,555,396,537,404,577,459,463,0,510
"2011-05",663,801,682,533,555,396,537,404,580,461,582,298,0,733
"2011-06",801,682,533,555,396,537,404,580,462,585,444,516,0,822
"2011-07",682,533,555,396,537,404,580,462,585,444,712,412,0,598
"2011-08",533,555,396,537,404,691,590,644,475,729,717,8,0,822
"2011-09",555,396,537,404,691,594,739,484,731,795,469,158,5,669
"2011-10",396,537,404,691,594,739,484,731,795,473,260,5,0,687
"2011-11",537,404,691,594,739,485,731,795,473,685,429,273,16,675
"2011-12",404,691,594,739,485,731,798,553,759,541,363,133,90,603
"2012-01",691,594,739,510,733,816,594,794,669,604,474,308,0,695
"2012-02",594,739,510,733,822,598,822,669,687,675,603,44,0,541
"2012-03",739,510,733,822,598,822,669,687,675,603,480,150,3,526
"2012-04",510,733,822,598,822,669,687,675,603,520,355,147,1,694
"2012-05",733,822,598,822,669,687,675,603,669,541,501,171,2,692
"2012-06",822,598,822,669,687,675,603,669,541,503,463,200,44,694
"2012-07",598,822,669,687,675,603,670,541,503,472,373,199,9,585
"2012-08",822,669,687,675,603,695,541,526,670,672,548,148,0,665
"2012-09",669,687,675,603,695,541,526,670,672,552,183,64,0,701
"2012-10",687,675,603,695,541,526,670,673,633,355,421,237,17,951
"2012-11",675,603,695,541,526,670,673,635,480,444,449,422,38,1044
"2012-12",603,695,541,526,670,673,635,480,444,452,434,38,0,954
"2013-01",695,541,526,670,673,635,511,532,490,534,468,175,0,826
"2013-02",541,526,694,692,687,582,652,699,949,1030,912,104,0,956
"2013-03",526,694,692,694,585,665,701,951,1044,946,762,573,60,1079
"2013-04",694,692,694,585,665,701,951,1044,954,821,830,262,0,1135
"2013-05",692,694,585,665,701,951,1044,954,823,903,262,0,0,1296
"2013-06",694,585,665,701,951,1044,954,823,911,664,275,171,4,998
"2013-07",585,665,701,951,1044,954,823,938,959,692,232,4,0,1126
"2013-08",665,701,951,1044,954,823,938,959,692,232,216,0,0,1134
"2013-09",701,951,1044,954,823,954,1050,851,641,471,6,0,0,819
"2013-10",951,1044,954,824,954,1050,876,723,471,6,0,0,0,770
"2013-11",1044,954,824,954,1050,1133,1205,471,6,0,1,0,0,1192
"2013-12",954,824,954,1079,1134,1249,662,6,0,1,0,0,0,1000
"2014-01",826,954,1079,1135,1296,924,787,671,82,648,1,1,0,798
"2014-02",956,1079,1135,1296,998,1062,1105,819,753,1124,181,0,0,401
"2014-03",1079,1135,1296,998,1122,1134,819,770,1192,1000,148,0,0,367
"2014-04",1135,1296,998,1122,1134,819,770,1192,1000,413,0,0,0,391
"2014-05",1296,998,1126,1134,819,770,1192,1000,792,388,143,0,0,628
"2014-06",998,1126,1134,819,770,1192,1000,795,390,353,353,472,26,520
"2014-07",1126,1134,819,770,1192,1000,796,390,354,390,618,439,39,524
"2014-08",1134,819,770,1192,1000,796,390,354,390,618,473,278,13,428
"2014-09",819,770,1192,1000,796,401,367,391,618,473,360,175,1,249
"2014-10",770,1192,1000,798,401,367,391,619,473,406,336,162,3,348
"2014-11",1192,1000,798,401,367,391,619,473,437,376,175,142,32,366
"2014-12",1000,798,401,367,391,619,473,437,376,219,145,197,6,377
"2015-01",798,401,367,391,619,473,437,376,219,145,215,218,0,346
"2015-02",401,367,391,619,479,505,426,248,230,265,297,145,6,205
"2015-03",367,391,628,520,524,428,249,348,366,377,331,146,10,318
"2015-04",391,628,520,524,428,249,348,366,377,332,147,132,6,352
"2015-05",628,520,524,428,249,348,366,377,346,177,264,154,10,336
"2015-06",520,524,428,249,348,366,377,346,184,272,208,76,40,297
"2015-07",524,428,249,348,366,377,346,184,272,275,160,153,93,297
"2015-08",428,249,348,366,377,346,184,292,291,165,171,188,45,312
"2015-09",249,348,366,377,346,205,318,322,220,297,263,180,55,280
"2015-10",348,366,377,346,205,318,322,220,297,296,304,217,57,408
"2015-11",366,377,346,205,318,322,220,297,296,304,247,158,0,458
