"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2006-01",0,0,0,0,0,0,0,0,0,0,0,0,0,697
"2006-02",0,0,0,0,0,0,0,0,0,0,0,0,0,388
"2006-03",0,0,0,0,0,0,0,0,0,0,273,57,46,512
"2006-04",0,0,0,0,0,0,0,0,0,667,357,453,17,271
"2006-05",0,0,0,0,0,0,0,0,667,357,453,17,11,321
"2006-06",0,0,0,0,0,0,0,667,357,453,17,20,128,194
"2006-07",0,0,0,0,0,0,667,357,460,18,21,151,31,286
"2006-08",0,0,0,0,0,673,366,470,111,256,161,31,0,52
"2006-09",0,0,0,0,673,366,470,111,256,164,54,0,0,101
"2006-10",0,0,0,673,366,470,141,256,164,260,0,33,0,278
"2006-11",0,0,678,369,485,195,308,170,261,10,34,101,3,253
"2006-12",0,683,372,486,255,309,170,263,28,46,102,3,1,85
"2007-01",697,388,512,269,316,185,282,48,97,278,249,4,0,152
"2007-02",388,512,271,321,194,286,52,101,278,253,85,0,0,113
"2007-03",512,271,321,194,286,52,101,278,253,85,0,0,0,114
"2007-04",271,321,194,286,52,101,278,253,85,150,106,24,0,75
"2007-05",321,194,286,52,101,278,253,85,150,106,24,0,0,103
"2007-06",194,286,52,101,278,253,85,150,106,24,0,0,0,99
"2007-07",286,52,101,278,253,85,152,113,113,75,86,0,4,115
"2007-08",52,101,278,253,85,152,113,113,75,86,0,4,0,72
"2007-09",101,278,253,85,152,113,114,75,93,66,95,65,0,46
"2007-10",278,253,85,152,113,114,75,103,85,115,72,0,0,26
"2007-11",253,85,152,113,114,75,103,85,115,72,0,0,0,10
"2007-12",85,152,113,114,75,103,99,115,72,46,25,9,0,3
"2008-01",152,113,114,75,103,99,115,72,46,26,10,3,10,108
"2008-02",113,114,75,103,99,115,72,46,26,10,3,10,0,41
"2008-03",114,75,103,99,115,72,46,26,10,3,72,18,10,46
"2008-04",75,103,99,115,72,46,26,10,3,105,36,36,22,73
"2008-05",103,99,115,72,46,26,10,3,105,36,36,25,17,75
"2008-06",99,115,72,46,26,10,3,107,41,46,49,60,44,80
"2008-07",115,72,46,26,10,3,108,41,46,70,70,75,86,152
"2008-08",72,46,26,10,3,108,41,46,70,70,79,128,4,86
"2008-09",46,26,10,3,108,41,46,70,70,79,141,68,7,116
"2008-10",26,10,3,108,41,46,71,75,79,152,77,49,1,139
"2008-11",10,3,108,41,46,73,75,79,152,86,110,129,38,129
"2008-12",3,108,41,46,73,75,79,152,86,110,131,109,22,105
"2009-01",108,41,46,73,75,80,152,86,116,139,129,99,72,179
"2009-02",41,46,73,75,80,152,86,116,139,129,99,72,0,112
"2009-03",46,73,75,80,152,86,116,139,129,105,144,64,1,166
"2009-04",73,75,80,152,86,116,139,129,105,179,111,148,22,184
"2009-05",75,80,152,86,116,139,129,105,179,111,153,141,0,146
"2009-06",80,152,86,116,139,129,105,179,112,165,182,136,2,188
"2009-07",152,86,116,139,129,105,179,112,165,182,136,2,0,170
"2009-08",86,116,139,129,105,179,112,166,184,143,156,123,2,181
"2009-09",116,139,129,105,179,112,166,184,146,183,164,146,0,256
"2009-10",139,129,105,179,112,166,184,146,183,170,171,142,1,357
"2009-11",129,105,179,112,166,184,146,188,170,175,232,320,0,383
"2009-12",105,179,112,166,184,146,188,170,179,232,324,168,0,520
"2010-01",179,112,166,184,146,188,170,181,250,355,374,500,15,587
"2010-02",112,166,184,146,188,170,181,256,357,383,520,369,0,505
"2010-03",166,184,146,188,170,181,256,357,383,520,564,324,2,593
"2010-04",184,146,188,170,181,256,357,383,520,587,502,239,9,567
"2010-05",146,188,170,181,256,357,383,520,587,503,548,57,0,567
"2010-06",188,170,181,256,357,383,520,587,503,593,218,41,3,520
"2010-07",170,181,256,357,383,520,587,503,593,565,183,105,5,418
"2010-08",181,256,357,383,520,587,503,593,565,566,366,5,0,297
"2010-09",256,357,383,520,587,503,593,565,566,513,382,48,0,287
"2010-10",357,383,520,587,505,593,567,567,520,418,297,287,226,429
"2010-11",383,520,587,505,593,567,567,520,418,297,287,392,263,489
"2010-12",520,587,505,593,567,567,520,418,297,287,423,430,159,463
"2011-01",587,505,593,567,567,520,418,297,287,429,489,463,133,529
"2011-02",505,593,567,567,520,418,297,287,429,489,463,485,88,485
"2011-03",593,567,567,520,418,297,287,429,489,463,523,481,279,517
"2011-04",567,567,520,418,297,287,429,489,463,523,482,506,166,332
"2011-05",567,520,418,297,287,429,489,463,523,482,514,314,310,555
"2011-06",520,418,297,287,429,489,463,523,482,514,319,536,359,602
"2011-07",418,297,287,429,489,463,523,482,514,332,554,563,331,570
"2011-08",297,287,429,489,463,523,482,514,332,554,599,568,364,573
"2011-09",287,429,489,463,523,482,514,332,554,599,569,554,288,664
"2011-10",429,489,463,523,482,514,332,554,599,569,567,559,16,1061
"2011-11",489,463,523,482,514,332,554,599,569,567,653,647,8,997
"2011-12",463,529,485,517,332,555,602,570,573,664,1050,282,0,800
"2012-01",529,485,517,332,555,602,570,573,664,1061,997,396,0,1003
"2012-02",485,517,332,555,602,570,573,664,1061,997,800,207,0,569
"2012-03",517,332,555,602,570,573,664,1061,997,800,942,302,8,555
"2012-04",332,555,602,570,573,664,1061,997,800,1003,561,468,19,411
"2012-05",555,602,570,573,664,1061,997,800,1003,561,549,31,0,471
"2012-06",602,570,573,664,1061,997,800,1003,569,551,199,105,1,432
"2012-07",570,573,664,1061,997,800,1003,569,551,199,105,1,0,378
"2012-08",573,664,1061,997,800,1003,569,551,410,450,52,12,0,396
"2012-09",664,1061,997,800,1003,569,551,411,469,430,160,55,0,326
"2012-10",1061,997,800,1003,569,551,411,469,430,373,353,205,0,533
"2012-11",997,800,1003,569,555,411,471,432,375,396,315,319,14,669
"2012-12",800,1003,569,555,411,471,432,375,396,315,526,411,21,771
"2013-01",1003,569,555,411,471,432,378,396,326,533,668,688,0,754
"2013-02",569,555,411,471,432,378,396,326,533,669,771,355,1,854
"2013-03",555,411,471,432,378,396,326,533,669,771,746,216,133,961
"2013-04",411,471,432,378,396,326,533,669,771,746,216,133,0,580
"2013-05",471,432,378,396,326,533,669,771,753,737,179,0,0,496
"2013-06",432,378,396,326,533,669,771,753,853,946,568,152,0,400
"2013-07",378,396,326,533,669,771,754,854,951,580,496,370,30,363
"2013-08",396,326,533,669,771,754,854,951,580,496,376,324,16,243
"2013-09",326,533,669,771,754,854,951,580,496,399,342,141,0,307
"2013-10",533,669,771,754,854,951,580,496,399,342,141,0,0,253
"2013-11",669,771,754,854,951,580,496,399,342,141,0,0,0,171
"2013-12",771,754,854,961,580,496,399,344,174,172,172,40,0,202
"2014-01",754,854,961,580,496,400,363,231,304,251,165,183,0,212
"2014-02",854,961,580,496,400,363,231,307,253,168,186,20,0,147
"2014-03",961,580,496,400,363,231,307,253,171,202,189,34,0,142
"2014-04",580,496,400,363,243,307,253,171,202,206,147,105,5,115
"2014-05",496,400,363,243,307,253,171,202,209,147,138,102,19,74
"2014-06",400,363,243,307,253,171,202,210,147,140,102,25,0,108
"2014-07",363,243,307,253,171,202,211,147,142,113,71,40,0,108
"2014-08",243,307,253,171,202,211,147,142,115,74,103,30,1,68
"2014-09",307,253,171,202,211,147,142,115,74,103,30,1,0,73
"2014-10",253,171,202,211,147,142,115,74,108,108,54,15,0,90
"2014-11",171,202,212,147,142,115,74,108,108,54,72,36,0,96
"2014-12",202,212,147,142,115,74,108,108,68,73,76,5,0,89
"2015-01",212,147,142,115,74,108,108,68,73,88,95,48,0,161
"2015-02",147,142,115,74,108,108,68,73,90,96,87,111,24,90
"2015-03",142,115,74,108,108,68,73,90,96,89,159,90,62,128
"2015-04",115,74,108,108,68,73,90,96,89,159,90,62,23,109
