"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2015-05",74,108,108,68,73,90,96,89,159,90,62,23,0,90
"2015-06",108,108,68,73,90,96,89,161,90,127,101,54,11,76
"2015-07",108,68,73,90,96,89,161,90,127,101,54,11,0,74
"2015-08",68,73,90,96,89,161,90,127,101,54,11,1,0,50
"2015-09",73,90,96,89,161,90,128,109,89,70,38,15,0,48
"2015-10",90,96,89,161,90,128,109,90,75,71,23,13,0,48
"2015-11",96,89,161,90,128,109,90,75,71,23,13,0,0,85
"2015-12",89,161,90,128,109,90,76,74,49,46,42,49,0,84
"2016-01",161,90,128,109,90,76,74,49,46,42,49,0,0,96
"2016-02",90,128,109,90,76,74,50,48,43,83,76,31,8,97
"2016-03",128,109,90,76,74,50,48,43,83,76,80,58,0,97
"2016-04",109,90,76,74,50,48,48,85,84,80,87,92,45,131
"2016-05",90,76,74,50,48,48,85,84,94,96,96,121,34,69
"2016-06",76,74,50,48,48,85,84,94,96,96,130,69,25,70
"2016-07",74,50,48,48,85,84,94,96,96,130,69,70,10,29
"2016-08",50,48,48,85,84,94,96,96,130,69,70,18,0,40
"2016-09",48,48,85,84,94,96,96,130,69,70,29,39,3,44
"2016-10",48,85,84,94,97,97,130,69,70,29,40,39,0,48
"2016-11",85,84,94,97,97,130,69,70,29,40,42,48,38,71
"2016-12",84,96,97,97,130,69,70,29,40,42,48,64,62,135
"2017-01",96,97,97,131,69,70,29,40,43,48,71,135,121,158
"2017-02",97,97,131,69,70,29,40,44,48,71,135,156,22,110
"2017-03",97,131,69,70,29,40,44,48,71,135,158,90,0,119
"2017-04",131,69,70,29,40,44,48,71,135,158,108,89,0,70
"2017-05",69,70,29,40,44,48,71,135,158,108,115,43,18,142
"2017-06",70,29,40,44,48,71,135,158,108,115,70,117,1,99
"2017-07",29,40,44,48,71,135,158,108,115,70,142,60,11,78
"2017-08",40,44,48,71,135,158,108,119,70,142,98,77,40,91
"2017-09",44,48,71,135,158,110,119,70,142,99,78,65,1,120
"2017-10",48,71,135,158,110,119,70,142,99,78,88,102,0,160
"2017-11",71,135,158,110,119,70,142,99,78,88,119,120,5,148
"2017-12",135,158,110,119,70,142,99,78,88,119,151,118,23,230
"2018-01",158,110,119,70,142,99,78,91,120,160,148,212,0,262
"2018-02",110,119,70,142,99,78,91,120,160,148,229,142,0,270
"2018-03",119,70,142,99,78,91,120,160,148,229,251,260,126,244
"2018-04",70,142,99,78,91,120,160,148,229,252,261,238,100,297
"2018-05",142,99,78,91,120,160,148,229,252,262,238,286,38,269
"2018-06",99,78,91,120,160,148,229,258,267,239,295,263,94,215
"2018-07",78,91,120,160,148,229,261,270,241,296,268,212,193,251
"2018-08",91,120,160,148,229,262,270,241,297,269,215,246,92,167
"2018-09",120,160,148,229,262,270,241,297,269,215,250,160,91,155
"2018-10",160,148,229,262,270,241,297,269,215,250,162,140,105,173
"2018-11",148,229,262,270,241,297,269,215,251,167,154,165,152,233
"2018-12",229,262,270,241,297,269,215,251,167,154,171,227,191,343
"2019-01",262,270,241,297,269,215,251,167,154,172,227,327,49,348
"2019-02",270,241,297,269,215,251,167,154,172,228,332,242,6,320
"2019-03",241,297,269,215,251,167,155,173,233,343,345,307,57,266
"2019-04",297,269,215,251,167,155,173,233,343,348,320,254,8,282
"2019-05",269,215,251,167,155,173,233,343,348,320,265,237,15,17
"2019-06",215,251,167,155,173,233,343,348,320,266,282,17,0,0
"2019-07",251,167,155,173,233,343,348,320,266,282,17,0,0,0
"2019-08",167,155,173,233,343,348,320,266,282,17,0,0,0,0
"2019-09",155,173,233,343,348,320,266,282,17,0,0,0,0,0
"2019-10",173,233,343,348,320,266,282,17,0,0,0,0,0,0
"2019-11",233,343,348,320,266,282,17,0,0,0,0,0,0,0
"2019-12",343,348,320,266,282,17,0,0,0,0,0,0,0,0
