"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2006-01",0,0,0,0,0,0,0,0,0,0,0,0,0,584
"2006-02",0,0,0,0,0,0,0,0,0,0,0,0,115,302
"2006-03",0,0,0,0,0,0,0,0,0,0,176,158,115,349
"2006-04",0,0,0,0,0,0,0,0,0,446,203,247,2,280
"2006-05",0,0,0,0,0,0,0,0,476,203,247,2,0,328
"2006-06",0,0,0,0,0,0,0,476,203,262,126,79,0,182
"2006-07",0,0,0,0,0,0,525,203,262,126,79,0,0,196
"2006-08",0,0,0,0,0,540,229,333,236,270,99,5,24,311
"2006-09",0,0,0,0,547,249,347,249,292,131,144,126,16,218
"2006-10",0,0,0,576,297,347,267,318,167,187,301,187,74,141
"2006-11",0,0,581,302,349,267,321,172,191,305,209,139,33,96
"2006-12",0,584,302,349,280,327,182,196,311,218,141,96,27,117
"2007-01",584,302,349,280,327,182,196,311,218,141,96,117,0,189
"2007-02",302,349,280,328,182,196,311,218,141,96,117,0,0,107
"2007-03",349,280,328,182,196,311,218,141,96,117,4,12,27,93
"2007-04",280,328,182,196,311,218,141,96,117,189,106,76,3,57
"2007-05",328,182,196,311,218,141,96,117,189,106,90,50,13,87
"2007-06",182,196,311,218,141,96,117,189,107,93,57,66,23,92
"2007-07",196,311,218,141,96,117,189,107,93,57,86,87,48,109
"2007-08",311,218,141,96,117,189,107,93,57,86,87,71,3,106
"2007-09",218,141,96,117,189,107,93,57,86,92,105,93,30,58
"2007-10",141,96,117,189,107,93,57,86,92,108,101,56,41,76
"2007-11",96,117,189,107,93,57,86,92,108,101,56,71,36,83
"2007-12",117,189,107,93,57,86,92,109,101,56,71,55,15,58
"2008-01",189,107,93,57,87,92,109,106,58,76,83,58,58,89
"2008-02",107,93,57,87,92,109,106,58,76,83,58,83,31,79
"2008-03",93,57,87,92,109,106,58,76,83,58,83,44,9,71
"2008-04",57,87,92,109,106,58,76,83,58,85,74,65,8,32
"2008-05",87,92,109,106,58,76,83,58,89,78,69,31,16,84
"2008-06",92,109,106,58,76,83,58,89,79,71,32,54,9,55
"2008-07",109,106,58,76,83,58,89,79,71,32,81,51,18,65
"2008-08",106,58,76,83,58,89,79,71,32,84,53,57,11,50
"2008-09",58,76,83,58,89,79,71,32,84,55,65,46,23,68
"2008-10",76,83,58,89,79,71,32,84,55,65,50,68,23,71
"2008-11",83,58,89,79,71,32,84,55,65,50,68,69,21,51
"2008-12",58,89,79,71,32,84,55,65,50,68,71,50,33,109
"2009-01",89,79,71,32,84,55,65,50,68,71,51,109,13,140
"2009-02",79,71,32,84,55,65,50,68,71,51,109,133,0,75
"2009-03",71,32,84,55,65,50,68,71,51,109,136,65,18,110
"2009-04",32,84,55,65,50,68,71,51,109,139,69,68,0,73
"2009-05",84,55,65,50,68,71,51,109,139,73,108,39,0,61
"2009-06",55,65,50,68,71,51,109,139,73,109,73,49,0,125
"2009-07",65,50,68,71,51,109,139,73,109,73,61,65,0,176
"2009-08",50,68,71,51,109,139,73,109,73,61,119,139,0,125
"2009-09",68,71,51,109,139,73,109,73,61,125,164,63,0,122
"2009-10",71,51,109,139,74,110,73,61,125,176,120,105,110,206
"2009-11",51,109,139,74,110,73,61,125,176,125,121,197,62,182
"2009-12",109,139,75,110,73,61,125,176,125,122,201,99,5,229
"2010-01",140,75,110,73,61,125,176,125,122,206,182,229,4,151
"2010-02",75,110,73,61,125,176,125,122,206,182,229,62,0,136
"2010-03",110,73,61,125,176,125,122,206,182,229,151,98,17,150
"2010-04",73,61,125,176,125,122,206,182,229,151,132,127,6,99
"2010-05",61,125,176,125,122,206,182,229,151,132,141,77,14,154
"2010-06",125,176,125,122,206,182,229,151,136,149,99,42,0,129
"2010-07",176,125,122,206,182,229,151,136,149,99,154,107,0,60
"2010-08",125,122,206,182,229,151,136,149,99,154,126,55,10,78
"2010-09",122,206,182,229,151,136,149,99,154,126,56,39,1,51
"2010-10",206,182,229,151,136,150,99,154,127,59,69,38,2,45
"2010-11",182,229,151,136,150,99,154,127,60,72,48,40,34,67
"2010-12",229,151,136,150,99,154,127,60,72,48,44,58,16,98
"2011-01",151,136,150,99,154,129,60,78,51,45,67,98,0,94
"2011-02",136,150,99,154,129,60,78,51,45,67,98,84,0,38
"2011-03",150,99,154,129,60,78,51,45,67,98,94,38,0,0
"2011-04",99,154,129,60,78,51,45,67,98,94,38,0,0,0
"2011-05",154,129,60,78,51,45,67,98,94,38,0,0,0,0
"2011-06",129,60,78,51,45,67,98,94,38,0,0,0,0,0
"2011-07",60,78,51,45,67,98,94,38,0,0,0,0,0,0
"2011-08",78,51,45,67,98,94,38,0,0,0,0,0,0,0
"2011-09",51,45,67,98,94,38,0,0,0,0,0,0,0,0
"2011-10",45,67,98,94,38,0,0,0,0,0,0,0,0,0
"2011-11",67,98,94,38,0,0,0,0,0,0,0,0,0,0
"2011-12",98,94,38,0,0,0,0,0,0,0,0,0,0,0
"2012-01",94,38,0,0,0,0,0,0,0,0,0,0,0,0
"2012-02",38,0,0,0,0,0,0,0,0,0,0,0,0,4
"2012-03",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2012-04",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2012-05",0,0,0,0,0,0,0,0,0,0,0,0,0,13
"2012-06",0,0,0,0,0,0,0,0,0,0,0,0,0,48
"2012-07",0,0,0,0,0,0,0,0,0,0,9,41,17,77
"2012-08",0,0,0,0,0,0,0,0,0,9,47,65,13,74
"2012-09",0,0,0,0,0,0,0,0,9,48,65,13,0,77
